Fiscal Year,Coal,Natural Gas & Oil,Nuclear,Renewable Energy,Purchased Power,sum
10/1/2006 0:00,29.7,27.9,27.3,5.7,9.4,100
10/1/2007 0:00,32.2,27.3,25.8,5.1,9.6,100
10/1/2008 0:00,33.2,25.7,27.1,6.1,7.9,100
10/1/2009 0:00,28.3,26.5,26.4,9.5,9.3,100
10/1/2010 0:00,32.5,22.3,25.2,9.7,10.3,100
10/1/2011 0:00,28.9,25.8,21.3,9.5,14.5,100
10/1/2012 0:00,27,20.3,21.9,15,15.8,100
10/1/2013 0:00,25.9,15.7,22.8,20.7,14.9,100
10/1/2014 0:00,32.1,15.3,26.9,25.5,,99.8
10/1/2015 0:00,27,18,29,26,,100
1/1/2016 0:00,,,,29.8,,29.8
1/1/2017 0:00,28.2,12.9,23.5,36.4,0,101
1/1/2018 0:00,,,,37.5,,37.5
