Year,Month,Plant,Type of Plant,kWh per MG Treated
2012,Jan,SAR Plant,Wastewater,2069
2012,Jan,Walnut Creek Plant,Wastewater,1474
2012,Feb,SAR Plant,Wastewater,1825
2012,Feb,Walnut Creek Plant,Wastewater,1378
2012,Mar,SAR Plant,Wastewater,1826
2012,Mar,Walnut Creek Plant,Wastewater,1353
2012,Apr,SAR Plant,Wastewater,2016
2012,Apr,Walnut Creek Plant,Wastewater,1426
2012,May,SAR Plant,Wastewater,1833
2012,May,Walnut Creek Plant,Wastewater,1423
2012,Jun,SAR Plant,Wastewater,2069
2012,Jun,Walnut Creek Plant,Wastewater,1546
2012,Jul,SAR Plant,Wastewater,1898
2012,Jul,Walnut Creek Plant,Wastewater,1449
2012,Aug,SAR Plant,Wastewater,1941
2012,Aug,Walnut Creek Plant,Wastewater,1635
2012,Sep,SAR Plant,Wastewater,1905
2012,Sep,Walnut Creek Plant,Wastewater,1497
2013,Jan,SAR Plant,Wastewater,2160
2013,Jan,Walnut Creek Plant,Wastewater,1532
2013,Feb,SAR Plant,Wastewater,2287
2013,Feb,Walnut Creek Plant,Wastewater,1574
2013,Mar,SAR Plant,Wastewater,2104
2013,Mar,Walnut Creek Plant,Wastewater,1558
2013,Apr,SAR Plant,Wastewater,1912
2013,Apr,Walnut Creek Plant,Wastewater,1448
2013,May,SAR Plant,Wastewater,1803
2013,May,Walnut Creek Plant,Wastewater,1413
2013,Jun,SAR Plant,Wastewater,1960
2013,Jun,Walnut Creek Plant,Wastewater,1516
2013,Jul,SAR Plant,Wastewater,1987
2013,Jul,Walnut Creek Plant,Wastewater,1565
2013,Aug,SAR Plant,Wastewater,1964
2013,Aug,Walnut Creek Plant,Wastewater,1520
2013,Sep,SAR Plant,Wastewater,1866
2013,Sep,Walnut Creek Plant,Wastewater,1510
2014,Jan,SAR Plant,Wastewater,2077
2014,Jan,Walnut Creek Plant,Wastewater,1572
2014,Feb,SAR Plant,Wastewater,2049
2014,Feb,Walnut Creek Plant,Wastewater,1750
2014,Mar,SAR Plant,Wastewater,1745
2014,Mar,Walnut Creek Plant,Wastewater,1641
2014,Apr,SAR Plant,Wastewater,1840
2014,Apr,Walnut Creek Plant,Wastewater,1789
2014,May,SAR Plant,Wastewater,1638
2014,May,Walnut Creek Plant,Wastewater,1565
2014,Jun,SAR Plant,Wastewater,1795
2014,Jun,Walnut Creek Plant,Wastewater,1605
2014,Jul,SAR Plant,Wastewater,2097
2014,Jul,Walnut Creek Plant,Wastewater,1619
2014,Aug,SAR Plant,Wastewater,2002
2014,Aug,Walnut Creek Plant,Wastewater,1750
2014,Sep,SAR Plant,Wastewater,1941
