      DOY     hour   QmMean    QmMin    QmMax    QmMed    QmStd    QmIqr   QvMean    QvMin    QvMax    QvMed    QvStd    QvIqr   QbMean    QbMin    QbMax    QbMed    QbStd    QbIqr  AHFMean   AHFMin   AHFMax   AHFMed   AHFStd   AHFIqr
  172.000    0.000    0.194    0.194    0.194    0.194    0.000    0.000    0.051    0.051    0.051    0.051    0.000    0.000    3.356    3.356    3.356    3.356    0.000    0.000    3.601    3.601    3.601    3.601    0.000    0.000
  172.000    1.000    0.194    0.194    0.194    0.194    0.000    0.000    0.025    0.025    0.025    0.025    0.000    0.000    2.685    2.685    2.685    2.685    0.000    0.000    2.904    2.904    2.904    2.904    0.000    0.000
  172.000    2.000    0.194    0.194    0.194    0.194    0.000    0.000    0.025    0.025    0.025    0.025    0.000    0.000    2.685    2.685    2.685    2.685    0.000    0.000    2.904    2.904    2.904    2.904    0.000    0.000
  172.000    3.000    0.194    0.194    0.194    0.194    0.000    0.000    0.051    0.051    0.051    0.051    0.000    0.000    2.013    2.013    2.013    2.013    0.000    0.000    2.258    2.258    2.258    2.258    0.000    0.000
  172.000    4.000    0.194    0.194    0.194    0.194    0.000    0.000    0.127    0.127    0.127    0.127    0.000    0.000    2.013    2.013    2.013    2.013    0.000    0.000    2.335    2.335    2.335    2.335    0.000    0.000
  172.000    5.000    0.194    0.194    0.194    0.194    0.000    0.000    0.203    0.203    0.203    0.203    0.000    0.000    2.685    2.685    2.685    2.685    0.000    0.000    3.082    3.082    3.082    3.082    0.000    0.000
  172.000    6.000    0.324    0.324    0.324    0.324    0.000    0.000    0.254    0.254    0.254    0.254    0.000    0.000    4.027    4.027    4.027    4.027    0.000    0.000    4.604    4.604    4.604    4.604    0.000    0.000
  172.000    7.000    0.453    0.453    0.453    0.453    0.000    0.000    0.330    0.330    0.330    0.330    0.000    0.000    5.369    5.369    5.369    5.369    0.000    0.000    6.152    6.152    6.152    6.152    0.000    0.000
  172.000    8.000    0.453    0.453    0.453    0.453    0.000    0.000    0.431    0.431    0.431    0.431    0.000    0.000    6.711    6.711    6.711    6.711    0.000    0.000    7.596    7.596    7.596    7.596    0.000    0.000
  172.000    9.000    0.453    0.453    0.453    0.453    0.000    0.000    0.380    0.380    0.380    0.380    0.000    0.000    8.054    8.054    8.054    8.054    0.000    0.000    8.887    8.887    8.887    8.887    0.000    0.000
  172.000   10.000    0.453    0.453    0.453    0.453    0.000    0.000    0.355    0.355    0.355    0.355    0.000    0.000    8.725    8.725    8.725    8.725    0.000    0.000    9.533    9.533    9.533    9.533    0.000    0.000
  172.000   11.000    0.453    0.453    0.453    0.453    0.000    0.000    0.330    0.330    0.330    0.330    0.000    0.000    9.396    9.396    9.396    9.396    0.000    0.000   10.179   10.179   10.179   10.179    0.000    0.000
  172.000   12.000    0.453    0.453    0.453    0.453    0.000    0.000    0.330    0.330    0.330    0.330    0.000    0.000   10.067   10.067   10.067   10.067    0.000    0.000   10.850   10.850   10.850   10.850    0.000    0.000
  172.000   13.000    0.453    0.453    0.453    0.453    0.000    0.000    0.355    0.355    0.355    0.355    0.000    0.000   10.738   10.738   10.738   10.738    0.000    0.000   11.547   11.547   11.547   11.547    0.000    0.000
  172.000   14.000    0.453    0.453    0.453    0.453    0.000    0.000    0.355    0.355    0.355    0.355    0.000    0.000   10.738   10.738   10.738   10.738    0.000    0.000   11.547   11.547   11.547   11.547    0.000    0.000
  172.000   15.000    0.453    0.453    0.453    0.453    0.000    0.000    0.380    0.380    0.380    0.380    0.000    0.000   10.738   10.738   10.738   10.738    0.000    0.000   11.572   11.572   11.572   11.572    0.000    0.000
  172.000   16.000    0.453    0.453    0.453    0.453    0.000    0.000    0.406    0.406    0.406    0.406    0.000    0.000   10.738   10.738   10.738   10.738    0.000    0.000   11.597   11.597   11.597   11.597    0.000    0.000
  172.000   17.000    0.453    0.453    0.453    0.453    0.000    0.000    0.456    0.456    0.456    0.456    0.000    0.000   10.738   10.738   10.738   10.738    0.000    0.000   11.648   11.648   11.648   11.648    0.000    0.000
  172.000   18.000    0.453    0.453    0.453    0.453    0.000    0.000    0.355    0.355    0.355    0.355    0.000    0.000    9.396    9.396    9.396    9.396    0.000    0.000   10.204   10.204   10.204   10.204    0.000    0.000
  172.000   19.000    0.453    0.453    0.453    0.453    0.000    0.000    0.254    0.254    0.254    0.254    0.000    0.000    8.725    8.725    8.725    8.725    0.000    0.000    9.432    9.432    9.432    9.432    0.000    0.000
  172.000   20.000    0.453    0.453    0.453    0.453    0.000    0.000    0.203    0.203    0.203    0.203    0.000    0.000    7.383    7.383    7.383    7.383    0.000    0.000    8.039    8.039    8.039    8.039    0.000    0.000
  172.000   21.000    0.453    0.453    0.453    0.453    0.000    0.000    0.178    0.178    0.178    0.178    0.000    0.000    6.040    6.040    6.040    6.040    0.000    0.000    6.671    6.671    6.671    6.671    0.000    0.000
  172.000   22.000    0.324    0.324    0.324    0.324    0.000    0.000    0.152    0.152    0.152    0.152    0.000    0.000    4.698    4.698    4.698    4.698    0.000    0.000    5.174    5.174    5.174    5.174    0.000    0.000
  172.000   23.000    0.194    0.194    0.194    0.194    0.000    0.000    0.101    0.101    0.101    0.101    0.000    0.000    3.356    3.356    3.356    3.356    0.000    0.000    3.651    3.651    3.651    3.651    0.000    0.000
