year,month,day,hour,minute,kwm2,temp,rh
1999,6,1,0,5,0.12,25.32,93.4
1999,6,1,0,10,0.08,25.27,93.4
1999,6,1,0,15,0.07,25.21,93.8
1999,6,1,0,20,0.06,25.14,93.7
1999,6,1,0,25,0.07,25.12,94
1999,6,1,0,30,0.09,25.08,94
1999,6,1,0,35,0.04,25.03,93.9
1999,6,1,0,40,0.04,25.03,93.8
1999,6,1,0,45,0.05,25.04,93.7
1999,6,1,0,50,0.07,25.05,93.5
1999,6,1,0,55,0.07,25.07,93.5
1999,6,1,1,0,0.09,25.03,93.5
1999,6,1,1,5,0.07,24.97,93.8
1999,6,1,1,10,0.06,24.95,94.2
1999,6,1,1,15,0.07,24.94,94.2
1999,6,1,1,20,0.09,24.87,94.5
1999,6,1,1,25,0.04,24.85,94.3
1999,6,1,1,30,0.06,24.85,94.3
1999,6,1,1,35,0.03,24.87,93.7
1999,6,1,1,40,0.06,24.83,93.5
1999,6,1,1,45,0.04,24.86,93.2
1999,6,1,1,50,0.04,24.85,93.2
1999,6,1,1,55,0.03,24.84,93.1
1999,6,1,2,0,0,24.84,93
1999,6,1,2,5,0.04,24.86,92.8
1999,6,1,2,10,0.04,24.79,93.1
1999,6,1,2,15,0.02,24.8,92.8
1999,6,1,2,20,0.02,24.78,92.8
1999,6,1,2,25,0.04,24.79,92.8
1999,6,1,2,30,0.04,24.77,92.9
1999,6,1,2,35,0.05,24.77,93.1
1999,6,1,2,40,0.04,24.78,93.4
1999,6,1,2,45,0.06,24.79,93.2
1999,6,1,2,50,0.07,24.79,93.3
1999,6,1,2,55,0.03,24.77,93.8
1999,6,1,3,0,0.05,24.74,94
1999,6,1,3,5,0.02,24.71,93.9
1999,6,1,3,10,0.06,24.68,93.7
1999,6,1,3,15,0.05,24.75,93.5
1999,6,1,3,20,0.06,24.77,93.3
1999,6,1,3,25,0.04,24.75,93.1
1999,6,1,3,30,0.04,24.77,93.4
1999,6,1,3,35,0.03,24.79,93.3
1999,6,1,3,40,0.07,24.73,93.5
1999,6,1,3,45,0.04,24.76,93.7
1999,6,1,3,50,0.03,24.77,93.6
1999,6,1,3,55,0.09,24.75,93.5
1999,6,1,4,0,0.05,24.8,93.2
1999,6,1,4,5,0.06,24.84,92.3
1999,6,1,4,10,0.04,24.86,92.2
1999,6,1,4,15,0.04,24.88,91.7
1999,6,1,4,20,0.07,24.94,91.6
1999,6,1,4,25,0.04,24.94,91.6
1999,6,1,4,30,0.06,24.94,91.5
1999,6,1,4,35,0.02,24.91,91.5
1999,6,1,4,40,0.04,24.91,91.9
1999,6,1,4,45,0.04,24.93,92
1999,6,1,4,50,0.05,24.87,91.6
1999,6,1,4,55,0.02,24.85,91.9
1999,6,1,5,0,0.03,24.83,91.9
1999,6,1,5,5,0.04,24.8,91.9
1999,6,1,5,10,0.07,24.79,91.9
1999,6,1,5,15,0.18,24.78,92.1
1999,6,1,5,20,0.49,24.74,92
1999,6,1,5,25,1.16,24.7,92.2
1999,6,1,5,30,1.87,24.68,92.3
1999,6,1,5,35,3.54,24.65,92.4
1999,6,1,5,40,6.78,24.63,92.5
1999,6,1,5,45,13.63,24.61,92.7
1999,6,1,5,50,21.56,24.55,92.8
1999,6,1,5,55,28.63,24.52,92.9
1999,6,1,6,0,31.53,24.56,92.8
