DATE,temp_f,precipitation_in,rh,pressure_Hg,windspeed_mph
1999-06-01T00:00:00,77,,90,29.86,9
1999-06-01T00:53:00,75,0,94,29.84,11
1999-06-01T01:11:00,75,,94,,13
1999-06-01T01:28:00,75,,94,,11
1999-06-01T01:53:00,75,0,94,29.82,11
1999-06-01T02:01:00,75,,94,,13
1999-06-01T02:53:00,77,0,89,29.78,13
1999-06-01T03:53:00,75,0,94,29.78,10
1999-06-01T04:53:00,75,0,94,29.8,9
1999-06-01T05:25:00,75,,94,,7
1999-06-01T06:00:00,75,0,94,29.82,7
1999-06-01T06:28:00,75,,94,,8
1999-06-01T06:53:00,75,0,94,29.82,9
1999-06-01T07:06:00,75,,94,,13
1999-06-01T07:29:00,77,,83,,11
1999-06-01T07:53:00,77,0,83,29.84,14
1999-06-01T08:24:00,81,,79,,10
1999-06-01T08:53:00,81,0,74,29.85,15
1999-06-01T09:53:00,82,0,70,29.85,14
1999-06-01T10:53:00,84,0,66,29.83,13
1999-06-01T12:00:00,87,0,57,29.84,15
1999-06-01T12:53:00,90,0,55,29.81,13
1999-06-01T13:53:00,90,0,55,29.78,18
1999-06-01T14:53:00,91,0,52,29.77,16
1999-06-01T15:53:00,91,0,56,29.76,17
1999-06-01T16:53:00,90,0,55,29.75,18
1999-06-01T18:00:00,88,0,59,29.75,10
1999-06-01T18:53:00,86,0,66,29.75,13
1999-06-01T19:53:00,82,0,74,29.78,9
1999-06-01T20:53:00,81,0,79,29.81,11
1999-06-01T21:53:00,79,0,84,29.86,10
1999-06-01T22:53:00,77,0,89,29.88,8
1999-06-01T23:29:00,77,,89,,9
1999-06-01T23:59:00,,,,,
1999-06-02T00:00:00,77,0,88,29.88,9
1999-06-02T00:53:00,79,0,84,29.88,9
1999-06-02T01:53:00,77,0,89,29.87,8
1999-06-02T02:53:00,77,0,89,29.87,13
1999-06-02T03:53:00,75,0,94,29.86,11
1999-06-02T04:53:00,73,0,100,29.88,10
1999-06-02T05:16:00,73,,100,,7
1999-06-02T05:28:00,75,,94,,6
1999-06-02T06:00:00,75,0,94,29.92,6
1999-06-02T06:04:00,75,,94,,8
1999-06-02T06:40:00,77,,89,,8
1999-06-02T06:53:00,77,0,89,29.93,8
1999-06-02T07:13:00,77,,89,,10
1999-06-02T07:53:00,79,0,84,29.96,13
1999-06-02T08:10:00,79,,84,,13
1999-06-02T08:53:00,81,0,79,29.97,15
1999-06-02T09:53:00,82,0,70,29.97,14
1999-06-02T10:53:00,84,0,66,29.98,10
1999-06-02T12:00:00,85,0,61,29.98,10
1999-06-02T12:31:00,88,,55,,14
1999-06-02T12:53:00,88,0,59,29.94,13
1999-06-02T13:53:00,90,0,52,29.93,13
1999-06-02T14:53:00,90,0,55,29.92,13
1999-06-02T15:53:00,88,0,55,29.91,13
1999-06-02T16:53:00,88,0,59,29.91,11
1999-06-02T18:00:00,85,0,65,29.92,8
1999-06-02T18:53:00,84,0,66,29.9,13
1999-06-02T19:53:00,82,0,70,29.91,14
1999-06-02T20:53:00,81,0,70,29.94,10
1999-06-02T21:53:00,77,0,83,29.97,9
1999-06-02T22:53:00,73,0,94,29.96,5
1999-06-02T23:59:00,,,,,
1999-06-03T00:00:00,75,0,88,29.96,8
1999-06-03T00:53:00,73,0,94,29.95,9
1999-06-03T01:15:00,73,,94,,7
1999-06-03T01:24:00,73,,94,,8
1999-06-03T01:53:00,73,0,94,29.94,8
1999-06-03T02:53:00,75,0,89,29.95,11
1999-06-03T03:53:00,75,0,89,29.95,14
1999-06-03T04:53:00,75,0,89,29.95,15
1999-06-03T05:39:00,75,,89,,10
1999-06-03T06:00:00,75,0,90,29.98,10
1999-06-03T06:53:00,75,0,94,29.98,10
1999-06-03T07:22:00,77,,89,,11
1999-06-03T07:34:00,77,,89,,13
1999-06-03T07:53:00,79,0,84,29.99,13
1999-06-03T08:10:00,79,,84,,14
1999-06-03T08:53:00,79,0,84,30,11
1999-06-03T09:20:00,81,,74,,13
1999-06-03T09:53:00,81,0,74,30.01,16
1999-06-03T10:53:00,82,0,70,30.01,13
1999-06-03T12:00:00,85,0,63,30.01,11
1999-06-03T12:53:00,88,0,59,29.98,14
1999-06-03T13:53:00,90,0,52,29.97,10
1999-06-03T14:53:00,90,0,55,29.95,17
1999-06-03T15:53:00,90,0,49,29.93,17
1999-06-03T16:53:00,90,0,49,29.93,14
1999-06-03T18:00:00,87,0,51,29.95,10
1999-06-03T18:53:00,84,0,66,29.94,13
1999-06-03T19:53:00,82,0,70,29.95,8
1999-06-03T20:53:00,79,0,74,29.96,9
1999-06-03T21:53:00,77,0,83,29.97,9
1999-06-03T22:53:00,73,0,94,29.98,8
1999-06-03T23:59:00,,,,,
1999-06-04T00:00:00,75,0,90,29.99,8
1999-06-04T00:22:00,75,,94,,9
1999-06-04T00:53:00,75,0,94,29.96,11
1999-06-04T01:41:00,73,,100,,10
1999-06-04T01:53:00,75,0,94,29.96,13
1999-06-04T02:07:00,75,,94,,13
1999-06-04T02:53:00,75,0,94,29.96,11
1999-06-04T03:53:00,75,0,94,29.96,10
1999-06-04T04:53:00,75,0,94,29.96,10
