%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1999 152 0 5 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 93.40 25.32 101.12 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 10 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 93.40 25.27 101.05 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 15 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 93.80 25.21 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 93.70 25.14 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 25 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 94.00 25.12 100.98 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 94.00 25.08 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 35 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 93.90 25.03 100.85 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 40 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.80 25.03 100.85 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 45 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 93.70 25.04 100.91 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 0 50 -999.00 -999.00 -999.00 -999.00 -999.00 3.13 93.50 25.05 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
