year,month,day,hour,minute,temp,rh,wind,rainfall,pressure,radiation
1999,6,1,0,5,25.32,93.4,4.02336,,101.1176054,1.1999999999999999e-4
1999,6,1,0,10,25.27,93.4,4.91744,0,101.0498776,8e-5
1999,6,1,0,15,25.21,93.8,5.81152,,,7.000000000000001e-5
1999,6,1,0,20,25.14,93.7,4.91744,,,5.9999999999999995e-5
1999,6,1,0,25,25.12,94,4.91744,0,100.9821498,7.000000000000001e-5
1999,6,1,0,30,25.08,94,5.81152,,,8.999999999999999e-5
1999,6,1,0,35,25.03,93.9,5.81152,0,100.8466942,4e-5
1999,6,1,0,40,25.03,93.8,4.4704,0,100.8466942,4e-5
1999,6,1,0,45,25.04,93.7,4.02336,0,100.914422,5e-5
1999,6,1,0,50,25.05,93.5,3.12928,,,7.000000000000001e-5
1999,6,1,0,55,25.07,93.5,3.12928,0,100.9821498,7.000000000000001e-5
1999,6,1,1,0,25.03,93.5,3.57632,,,8.999999999999999e-5
1999,6,1,1,5,24.97,93.8,4.02336,0,100.9821498,7.000000000000001e-5
1999,6,1,1,10,24.95,94.2,5.81152,,,5.9999999999999995e-5
1999,6,1,1,15,24.94,94.2,4.91744,,,7.000000000000001e-5
1999,6,1,1,20,24.87,94.5,6.25856,0,101.0498776,8.999999999999999e-5
1999,6,1,1,25,24.85,94.3,4.4704,,,4e-5
1999,6,1,1,30,24.85,94.3,6.7056,0,101.0837415,5.9999999999999995e-5
1999,6,1,1,35,24.87,93.7,6.25856,0,101.0837415,2.9999999999999997e-5
1999,6,1,1,40,24.83,93.5,5.81152,0,101.01601369999999,5.9999999999999995e-5
1999,6,1,1,45,24.86,93.2,6.7056,0,101.0498776,4e-5
1999,6,1,1,50,24.85,93.2,5.81152,0,100.9482859,4e-5
1999,6,1,1,55,24.84,93.1,8.04672,0,100.8466942,2.9999999999999997e-5
1999,6,1,2,0,24.84,93,7.15264,0,100.8128303,0
1999,6,1,2,5,24.86,92.8,7.59968,0,100.7789664,4e-5
1999,6,1,2,10,24.79,93.1,8.04672,0,100.7451025,4e-5
1999,6,1,2,15,24.8,92.8,4.4704,0,100.7451025,2e-5
1999,6,1,2,20,24.78,92.8,5.81152,0,100.7451025,2e-5
1999,6,1,2,25,24.79,92.8,4.02336,0,100.8466942,4e-5
1999,6,1,2,30,24.77,92.9,4.91744,0,100.9482859,4e-5
1999,6,1,2,35,24.77,93.1,4.4704,0,101.1176054,5e-5
1999,6,1,2,40,24.78,93.4,3.57632,0,101.1853332,4e-5
1999,6,1,2,45,24.79,93.2,4.02336,,,5.9999999999999995e-5
1999,6,1,2,50,24.79,93.3,,,,7.000000000000001e-5
1999,6,1,2,55,24.77,93.8,4.02336,0,101.1853332,2.9999999999999997e-5
1999,6,1,3,0,24.74,94,4.02336,0,101.1853332,5e-5
1999,6,1,3,5,24.71,93.9,3.57632,0,101.1514693,2e-5
1999,6,1,3,10,24.68,93.7,5.81152,0,101.1514693,5.9999999999999995e-5
1999,6,1,3,15,24.75,93.5,4.91744,0,101.1176054,5e-5
1999,6,1,3,20,24.77,93.3,4.4704,0,101.1853332,5.9999999999999995e-5
1999,6,1,3,25,24.75,93.1,3.12928,,,4e-5
1999,6,1,3,30,24.77,93.4,2.68224,,,4e-5
1999,6,1,3,35,24.79,93.3,2.68224,0,101.3207888,2.9999999999999997e-5
1999,6,1,3,40,24.73,93.5,3.57632,,,7.000000000000001e-5
1999,6,1,3,45,24.76,93.7,3.57632,,,4e-5
1999,6,1,3,50,24.77,93.6,3.57632,0,101.3546527,2.9999999999999997e-5
1999,6,1,3,55,24.75,93.5,4.4704,,,8.999999999999999e-5
1999,6,1,4,0,24.8,93.2,5.81152,0,101.4562444,5e-5
1999,6,1,4,5,24.84,92.3,5.81152,,,5.9999999999999995e-5
1999,6,1,4,10,24.86,92.2,6.7056,0,101.4901083,4e-5
1999,6,1,4,15,24.88,91.7,6.25856,0,101.4901083,4e-5
1999,6,1,4,20,24.94,91.6,4.4704,0,101.5239722,7.000000000000001e-5
1999,6,1,4,25,24.94,91.6,4.4704,0,101.5239722,4e-5
1999,6,1,4,30,24.94,91.5,6.25856,,,5.9999999999999995e-5
